Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor
E-ST1166925 Sterling Silver,E-ST1166,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Zircon (#5 Ruby),Baguette 2*4mm,24,Earrings,Gemnel
E-ST1166925 Sterling Silver,E-ST1166,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Baguette 2*4mm,22,Earrings,Gemnel
N-E5271925 Sterling Silver,N-E5271,925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Length: 40cm+5cm,34,Necklace,Gemnel
R-F3243925 Sterling Silver,R-F3243,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,/,28,Bracelet,Gemnel
B-R0054925 Sterling Silver,B-R0054,925 Sterling Silver Pendant diameter: 12 mm Length: 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant diameter: 12 mm Length: 16cm+4cm,38,Bracelet,Gemnel
E-H3121925 Sterling Silver,E-H3121,925 Sterling Silver Size:8*13mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Size:8*13mm,32,Earrings,Gemnel
E-H3126925 Sterling Silver,E-H3126,925 Sterling Silver Dia:15mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Dia:15mm,36,Earrings,Gemnel
N-E1095-2925 Sterling Silver,N-E1095-2,925 Sterling Silver Pendant 16*17mm and Chain is 40+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant 16*17mm and Chain is 40+5cm,42,Necklace,Gemnel
N-E1095-2925 Sterling Silver,N-E1095-2,925 Sterling Silver Pendant 16*17mm and Chain is 40+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant 16*17mm and Chain is 40+5cm,39,Necklace,Gemnel
N-E4027925 Sterling Silver,N-E4027,925 Sterling Silver Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Chain Length: 40+5 cm,34,Necklace,Gemnel
N-E5093925 Sterling Silver,N-E5093,925 Sterling Silver Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Chain Length: 40+5 cm,45,Necklace,Gemnel
N-E5229925 Sterling Silver,N-E5229,"925 Sterling Silver Measurements: 12.7 x 6.5 mm Chain Length: 40+5 cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,"Measurements: 12.7 x 6.5 mm Chain Length: 40+5 cm",34,Necklace,Gemnel
R-F0144925 Sterling Silver,R-F0144,"925 Sterling Silver Signet 14mm*3mm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,"Signet 14mm*3mm",36,Ring,Gemnel
R-F1083925 Sterling Silver,R-F1083,"925 Sterling Silver Band 2.4-6.6mm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,"Band 2.4-6.6mm",38,Ring,Gemnel
R-F3177925 Sterling Silver,R-F3177,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,/,28,Ring,Gemnel
E-H4089-1925 Sterling Silver,E-H4089-1,925 Sterling Silver OD: 2.54cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,OD: 2.54cm,36,Earrings,Gemnel
E-H3090925 Sterling Silver,E-H3090,"925 Sterling Silver Inner Dia:8mm, Band:1.2mm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,"Inner Dia:8mm, Band:1.2mm",34,Earrings,Gemnel
E-H1362925 Sterling Silver,E-H1362,925 Sterling Silver Diameter 8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Diameter 8mm,34,Earrings,Gemnel
E-H1359925 Sterling Silver,E-H1359,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,36,Earrings,Gemnel
"E-S1030-2925 Sterling Silver","E-S1030-2",925 Sterling Silver 3mm Opal 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,3mm Opal,29,Earrings,Gemnel
E-S0146925 Sterling Silver,E-S0146,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,28,Earrings,Gemnel
B-R4026925 Sterling Silver,B-R4026,"925 Sterling Silver Fixed pendant approx. 7mm in width Length: 16cm+4cm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Fixed pendant approx. 7mm in width Length: 16cm+4cm",32,Bracelet,Gemnel
B-R0040-2925 Sterling Silver,B-R0040-2,925 Sterling Silver 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,16cm+4cm,35,Bracelet,Gemnel
N-E1021925 Sterling Silver,N-E1021,925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Length: 40cm+5cm,45,Necklace,Gemnel
E-S4001925 Sterling Silver,E-S4001,"925 Sterling Silver Opal:4mm Zircon:2.5mm 15pairs for each color 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Opal:4mm Zircon:2.5mm 15pairs for each color",26,Earrings,Gemnel
R-F1316-2925 Sterling Silver,R-F1316-2,925 Sterling Silver 3mm Opal size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,3mm Opal size5/6/7 15pcs for each size,28,Ring,Gemnel
N-E3001-2 Brass,N-E3001-2 ,Brass Pearl 18mm x 14mm Length: 43cm 14k gold 1 micron,Brass,14k gold 1 micron,"Brass, Nov3Upload",freshwater pearl,Pearl 18mm x 14mm Length: 43cm,34,Necklace,Gemnel
N-C11031 Brass,N-C11031 ,Brass Pearl 18mm x 14mm Length: 43cm 14k gold 1 micron,Brass,14k gold 1 micron,"Brass, Nov3Upload",freshwater pearl,Pearl 18mm x 14mm Length: 43cm,38,Necklace,Gemnel
R-F11007 stainless steel,R-F11007 ,"stainless steel  Band 1.2mm                   size5/6/7                               15pcs for each size 14k gold                 1 micron                  ",stainless steel,14k gold                 1 micron                  ,"stainless steel, Nov3Upload",opal                    zircon," Band 1.2mm                   size5/6/7                               15pcs for each size",28,Ring,Gemnel
